 Node_ID   Disp_X         Disp_Y
    1     0.00000000     0.00000000
    2    -0.13458650    -4.18997619
    3    -0.26917300    -8.08270228
    4     0.00000000   -11.06614620
    5     0.26917300    -8.08270228
    6     0.13458650    -4.18997619
    7     0.00000000     0.00000000
    8     1.62502926    -4.18997619
    9     1.27538847    -8.82319216
   10     0.00000000    -9.58516645
   11    -1.27538847    -8.82319216
   12    -1.62502926    -4.18997619
